Distance,Population
0.66236799,Senegal
0.68901917,Chad
0.68907402,Burundi
0.69208005,Guinea
0.70058827,Tanzania
0.72263363,Nigeria
0.72907940,Mali
0.73358503,Mozambique
0.73781811,Gambia
0.74377368,Sierra_Leone
0.74428680,Burkina_Faso
0.74774222,Angola
0.74780596,Malawi
0.74816854,Cameroon
0.74883250,Congo
0.74917955,Sierra_Leone
0.74924286,Namibia
0.78333096,Sub-Saharan_African
0.79218370,South_Africa
0.79256233,Gabon
0.80805760,South_Sudan
0.80813697,Papua_New_Guinea
