Bulgarian,0.125031,0.143906,0.025735,0.000563,0.024685,0.002520,0.005069,0.003752,-0.002309,0.005209,-0.002252,0.000498,-0.000834,0.011645,-0.008361,-0.001032,0.004696,0.000094,0.004969,-0.001605,-0.001978,-0.004021,0.001813,-0.000754,0.001078
Cossack_Kuban,0.134420,0.107727,0.080165,0.068606,0.033462,0.018892,0.011971,0.016764,-0.001396,-0.025204,0.002170,-0.009495,0.017957,0.012326,-0.012472,-0.003030,0.002060,-0.002701,-0.001627,-0.000259,-0.003841,0.001881,0.003617,-0.003640,-0.001135
Cossack_Ukrainian,0.137097,0.123241,0.077779,0.062497,0.039923,0.022342,0.011905,0.015632,0.002125,-0.018238,-0.001438,-0.008362,0.016574,0.020263,-0.014602,-0.003001,0.004385,-0.002544,0.001553,-0.001672,-0.007227,-0.001388,0.003602,-0.003893,-0.001601
Croatian,0.133100,0.138284,0.055045,0.033141,0.038130,0.013930,0.006861,0.007972,0.001526,-0.001918,-0.004340,-0.001745,0.002295,0.015697,-0.006060,-0.000913,0.003194,-0.000176,0.005206,0.000166,-0.001421,-0.004739,0.002580,0.000850,0.000988
Czech,0.135377,0.135288,0.065921,0.048114,0.042474,0.019100,0.007099,0.008954,0.002903,-0.005534,-0.005186,-0.002497,0.002953,0.015604,-0.001672,0.000574,0.001037,0.000443,0.005253,0.001582,0.001380,-0.004917,0.002378,0.002488,0.001582
Czech_Bohemia,0.136180,0.135091,0.064898,0.048520,0.040718,0.019452,0.007985,0.009258,0.000456,-0.007696,-0.004919,-0.002778,0.004196,0.016743,-0.002567,0.000230,0.001042,0.000289,0.005140,0.000556,0.001111,-0.004897,0.002160,0.001720,0.001310
Danish,0.136597,0.138345,0.069557,0.048340,0.045223,0.018473,0.004876,0.007654,0.007744,0.003329,-0.005297,0.002304,-0.006942,-0.002097,0.013558,0.004260,-0.005953,0.001391,0.003637,0.002436,0.004720,0.000596,-0.000148,0.008106,0.000334
Dutch,0.136333,0.140700,0.065917,0.043193,0.045030,0.016724,0.004500,0.006738,0.008062,0.007282,-0.005793,0.004094,-0.010104,-0.004596,0.015291,0.004393,-0.005898,0.001457,0.003506,0.002051,0.004250,0.001321,-0.001140,0.008156,-0.000488
Dutch_Central,0.136163,0.140447,0.065566,0.042284,0.044703,0.016313,0.004453,0.006649,0.008212,0.007753,-0.005644,0.004195,-0.010029,-0.005153,0.014913,0.004272,-0.005817,0.001402,0.003360,0.001524,0.003567,0.001911,-0.001295,0.008047,-0.001002
Dutch_North,0.136823,0.140302,0.067490,0.046411,0.046049,0.017928,0.004633,0.006905,0.008134,0.006339,-0.006116,0.003937,-0.010099,-0.003458,0.016274,0.004579,-0.006817,0.001730,0.004413,0.002671,0.005082,0.000909,-0.000985,0.009152,0.000162
Dutch_South,0.136258,0.142840,0.063484,0.039812,0.045293,0.015910,0.004461,0.006358,0.007904,0.008461,-0.006274,0.004248,-0.010255,-0.002032,0.013828,0.003712,-0.004887,0.001355,0.004040,0.002009,0.003932,-0.000121,-0.000920,0.007570,-0.000279
Cornish,0.135197,0.142500,0.064037,0.039549,0.045313,0.015476,0.003100,0.005721,0.009701,0.010379,-0.005566,0.004786,-0.011526,-0.006412,0.015590,0.004223,-0.006193,0.001425,0.002936,0.001825,0.004707,0.001088,-0.001055,0.007594,0.000082
English_East,0.134674,0.141576,0.062420,0.038820,0.044183,0.015379,0.003742,0.005935,0.008552,0.009285,-0.005580,0.004410,-0.010780,-0.004422,0.014006,0.003611,-0.005335,0.001303,0.003386,0.002022,0.004490,0.000665,-0.000748,0.007180,0.000099
English_East-Midlands,0.135278,0.142117,0.063470,0.039341,0.044712,0.015302,0.004117,0.006400,0.008520,0.009013,-0.005534,0.004334,-0.010376,-0.004892,0.014103,0.003764,-0.005707,0.001321,0.003489,0.001497,0.003623,0.001229,-0.000712,0.007694,-0.000407
English_Lancashire,0.135363,0.142240,0.064819,0.040930,0.045874,0.016075,0.003516,0.005788,0.009430,0.009558,-0.006014,0.004488,-0.011013,-0.004964,0.015905,0.004551,-0.006223,0.001591,0.003566,0.002067,0.004980,0.000596,-0.001026,0.008080,0.000068
English_Northeast,0.135759,0.141678,0.064760,0.041341,0.044875,0.016169,0.003948,0.006312,0.008671,0.008624,-0.005626,0.004404,-0.010620,-0.005671,0.015325,0.004419,-0.005933,0.001357,0.003092,0.001723,0.004130,0.001306,-0.001140,0.007595,-0.000285
English_Southeast,0.134877,0.141530,0.062800,0.039458,0.044285,0.015420,0.003782,0.005966,0.008416,0.009083,-0.005612,0.004554,-0.010976,-0.005039,0.015166,0.004078,-0.005851,0.001334,0.003303,0.001997,0.004642,0.000671,-0.001018,0.007465,0.000178
English_Southwest,0.134633,0.141358,0.062877,0.039082,0.044293,0.015139,0.003563,0.006101,0.009524,0.010306,-0.005324,0.004841,-0.011324,-0.006891,0.015444,0.003989,-0.006336,0.001202,0.002816,0.001504,0.004016,0.001533,-0.001092,0.007299,-0.000222
English_Yorkshire,0.135186,0.141260,0.064438,0.041739,0.044927,0.016311,0.003702,0.006000,0.008650,0.008286,-0.005740,0.004270,-0.010558,-0.004676,0.015831,0.004231,-0.006574,0.001450,0.003457,0.002198,0.005210,0.000644,-0.000986,0.007947,0.000335
English_West-Midlands,0.135442,0.141996,0.063965,0.039944,0.044693,0.015597,0.003878,0.006244,0.008666,0.009278,-0.005575,0.004633,-0.011231,-0.006206,0.015416,0.004302,-0.005824,0.001367,0.003084,0.001987,0.004486,0.001277,-0.001045,0.007597,-0.000144
Estonian,0.137571,0.115424,0.087378,0.078276,0.041035,0.027734,0.011101,0.014995,0.000989,-0.026834,-0.001381,-0.010472,0.018340,0.023937,-0.007502,0.000357,0.001316,-0.000711,0.002455,0.002840,0.002960,-0.005596,0.002987,-0.000156,0.003363
Finnish,0.134216,0.094480,0.090698,0.079344,0.032208,0.023701,0.009733,0.015516,0.002228,-0.025774,0.003357,-0.008330,0.014577,0.007531,-0.000300,0.000951,-0.003300,-0.001227,-0.000580,0.004112,0.006145,0.000017,0.001770,0.004597,0.002915
